strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,pass_rate,verdict
macd_direction,24,1,3,20,-0.074788,0.349921,0.524973,-0.732994,0.166667,HURTS
prev_day_hl,36,1,5,17,-0.051258,0.354143,0.479633,-0.795495,0.166667,HURTS
pullback_ema,48,0,7,41,-0.072924,0.187559,0.479063,-1.452600,0.145833,HURTS
session_opening_range,48,0,12,34,-0.067179,0.328540,0.464917,-0.929799,0.250000,HURTS
london_breakout,24,0,0,4,-0.071834,0.278846,0.369236,-1.011356,0.000000,HURTS
bollinger_touch,24,1,6,15,-0.022438,0.559543,0.361348,-0.530817,0.291667,HURTS
ema_cross,432,0,0,105,-0.112848,0.208669,0.329481,-1.330986,0.000000,HURTS
ny_breakout,24,0,0,1,-0.051125,0.200000,0.220000,-0.487869,0.000000,HURTS
ema_alignment,36,0,0,0,,,,,0.000000,NEUTRAL
rsi_extreme,48,0,0,0,,,,,0.000000,NEUTRAL
vwap_deviation,24,0,0,0,,,,,0.000000,NEUTRAL
