strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
rsi_extreme,60,1,0,0,0.059576,0.714286,0.987921,1.253881,0.029001,684,0.016667,HELPS
ny_breakout,30,0,0,2,-0.141949,0.200000,0.961976,-1.514814,-0.077477,278,0.000000,HURTS
london_breakout,30,0,0,2,-0.125185,0.250000,0.958358,-1.456310,-0.043986,403,0.000000,HURTS
prev_day_hl,45,0,6,12,-0.118827,0.341437,0.792230,-0.702358,-0.146316,976,0.133333,HURTS
ob_bos,120,0,0,20,-0.268376,0.272721,0.783874,-1.556679,-0.071235,1632,0.000000,HURTS
ema_cross,540,0,0,234,-0.223264,0.189797,0.666317,-2.005391,-0.091890,10027,0.000000,HURTS
macd_direction,30,0,6,24,-0.186706,0.324115,0.584621,-1.183596,-0.110787,2295,0.200000,HURTS
structure_filters,60,0,6,47,-0.197538,0.280499,0.522389,-2.758328,-0.064935,8273,0.100000,HURTS
pullback_ema,60,0,8,52,-0.122664,0.163326,0.510153,-1.860248,-0.070261,3206,0.133333,HURTS
bollinger_touch,30,4,9,17,0.079218,0.639098,0.487807,-0.010202,0.052660,941,0.433333,HELPS
ema_alignment,45,0,4,36,-0.074209,0.188769,0.444909,-1.353816,-0.058364,1148,0.088889,HURTS
session_opening_range,60,0,4,56,-0.103705,0.305785,0.435270,-0.846673,-0.077443,2685,0.066667,HURTS
vwap_deviation,30,0,0,0,,,,,,281,0.000000,NEUTRAL
